FileName,GCPLocation
M1_F1.3_0402.JPG,"[[723, 251]]"
M1_F1.3_0426.JPG,"[[2136, 407]]"
M1_F1.3_0497.JPG,"[[2902, 2860]]"
M1_F1.3_0407.JPG,"[[634, 2338]]"
M1_F1.3_0429.JPG,"[[2119, 1645]]"
M1_F1.3_0459.JPG,"[[2963, 720]]"
M1_F1.3_0464.JPG,"[[2980, 2851]]"
M1_F1.3_0462.JPG,"[[2972, 1980]]"
M1_F1.3_0432.JPG,"[[2067, 2930]]"
M1_F1.3_0460.JPG,"[[2962, 1135]]"
M1_F1.3_0461.JPG,"[[2965, 1550]]"
M1_F1.3_0403.JPG,"[[702, 655]]"
M1_F1.3_0458.JPG,"[[2973, 309]]"
M1_F1.3_0404.JPG,"[[683, 1065]]"
M1_F1.3_0428.JPG,"[[2128, 1232]]"
M1_F1.3_0431.JPG,"[[2088, 2489]]"
M1_F1.3_0406.JPG,"[[647, 1906]]"
M1_F1.3_0405.JPG,"[[666, 1486]]"
M1_F1.3_0463.JPG,"[[2977, 2406]]"
M1_F1.3_0430.JPG,"[[2104, 2068]]"
M1_F1.3_0408.JPG,"[[628, 2785]]"
